1.1713,1.1908,1.16,1.1506
1.1705,1.1879,1.1642,1.1537
1.1684,1.1902,1.159,1.1528
1.1641,1.1874,1.1609,1.1531
1.1694,1.1856,1.1546,1.1544
1.1715,1.1916,1.16,1.1523
1.1686,1.1897,1.1615,1.1528
1.1688,1.1837,1.1647,1.1521
1.167,1.1866,1.1623,1.1537
1.1739,1.1825,1.153,1.1523
1.1636,1.1919,1.1571,1.155
1.1717,1.192,1.16,1.1532
1.1709,1.1853,1.1692,1.1552
1.1778,1.1814,1.1564,1.1503
1.1651,1.1799,1.161,1.1522
1.1699,1.1849,1.1491,1.1539
1.1585,1.1972,1.1564,1.1548
1.1686,1.1893,1.1668,1.1539
1.1638,1.1875,1.1564,1.1505
1.1748,1.1828,1.159,1.153
1.1676,1.183,1.1572,1.1539
1.1651,1.1947,1.1546,1.1561
1.1726,1.1861,1.1628,1.1543
1.1669,1.1944,1.1535,1.1518
1.17,1.1855,1.1515,1.1525
1.1733,1.1866,1.1528,1.1538
1.1647,1.186,1.1565,1.152
1.1725,1.1869,1.1589,1.1529
1.1703,1.1858,1.1609,1.1512
1.1689,1.1843,1.158,1.1524
